loading app ryu_uni_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_uni_controller.py of MycoUniversalController
instantiating app ryu.controller.ofp_handler of OFPHandler
Time(s), CPU(%), RAM(MB), Strategy, Proxy_Active, Under_Attack
Successfully patched eventlet.wsgi.ALREADY_HANDLED
226.81, 0.0, 54.88, SWAP, NO, NO
228.83, 0.0, 54.88, SWAP, NO, NO
230.86, 0.0, 54.88, SWAP, NO, NO
232.94, 0.0, 54.88, SWAP, NO, NO
235.01, 0.0, 54.88, SWAP, NO, NO
237.16, 0.0, 54.88, SWAP, NO, NO
239.17, 0.5, 54.88, SWAP, NO, NO
241.22, 0.0, 54.88, SWAP, NO, NO
243.30, 0.0, 54.88, SWAP, NO, NO
245.39, 0.0, 54.88, SWAP, NO, NO
247.54, 0.0, 54.88, SWAP, NO, NO
249.57, 0.0, 54.88, SWAP, NO, NO
248.72, 0.0, 54.88, SWAP, NO, NO
250.83, 0.0, 54.88, SWAP, NO, NO
252.85, 0.0, 54.88, SWAP, NO, NO
254.93, 0.0, 54.88, SWAP, NO, NO
256.99, 0.5, 54.88, SWAP, NO, NO
259.10, 0.0, 54.88, SWAP, NO, NO
261.11, 0.0, 54.88, SWAP, NO, NO
263.12, 0.5, 54.88, SWAP, NO, NO
265.32, 0.0, 54.88, SWAP, NO, NO
267.35, 0.0, 54.88, SWAP, NO, NO
269.51, 0.0, 54.88, SWAP, NO, NO
271.52, 0.0, 54.88, SWAP, NO, NO
273.60, 0.0, 54.88, SWAP, NO, NO
275.65, 0.0, 54.88, SWAP, NO, NO
277.66, 0.0, 54.88, SWAP, NO, NO
279.73, 0.5, 54.88, SWAP, NO, NO
278.76, 0.0, 54.88, SWAP, NO, NO
280.84, 0.0, 54.88, SWAP, NO, NO
282.93, 0.0, 54.88, SWAP, NO, NO
284.93, 0.0, 54.88, SWAP, NO, NO
286.97, 0.0, 54.88, SWAP, NO, NO
289.00, 0.0, 54.88, SWAP, NO, NO
291.02, 0.0, 54.88, SWAP, NO, NO
293.03, 0.0, 54.88, SWAP, NO, NO
295.03, 0.0, 54.88, SWAP, NO, NO
297.14, 0.0, 54.88, SWAP, NO, NO
299.14, 0.0, 54.88, SWAP, NO, NO
301.18, 0.0, 54.88, SWAP, NO, NO
303.22, 0.0, 54.88, SWAP, NO, NO
305.25, 0.5, 54.88, SWAP, NO, NO
307.28, 0.0, 54.88, SWAP, NO, NO
309.28, 0.0, 54.88, SWAP, NO, NO
308.46, 0.0, 54.88, SWAP, NO, NO
310.47, 0.0, 54.88, SWAP, NO, NO
312.51, 0.0, 54.88, SWAP, NO, NO
314.52, 0.0, 54.88, SWAP, NO, NO
316.61, 0.0, 54.88, SWAP, NO, NO
318.77, 0.0, 54.88, SWAP, NO, NO
320.77, 0.0, 54.88, SWAP, NO, NO
322.81, 0.0, 54.88, SWAP, NO, NO
324.85, 0.0, 54.88, SWAP, NO, NO
326.85, 0.5, 54.88, SWAP, NO, NO
328.85, 0.0, 54.88, SWAP, NO, NO
330.86, 0.0, 54.88, SWAP, NO, NO
332.96, 0.0, 54.88, SWAP, NO, NO
335.05, 0.0, 54.88, SWAP, NO, NO
337.10, 0.5, 54.88, SWAP, NO, NO
339.10, 0.0, 54.88, SWAP, NO, NO
